Date,head,neck,shoulder,back,upperArm,elbow,forearm,wrist,hand,chest,abdo,hip,thigh,knee,calf,heel,foot
Jan-05,107,19,17,92.72727273,1,4,1,5,7,33,51,10,3,17,3,6,15
Feb-05,104,20,16,91.85714286,1,4,1,5,8,34,48,12,4,18,3,6,14
Mar-05,102,19,15,94.65853659,1,4,1,5,7,33,50,12,3,19,4,7,16
Apr-05,101,21,16,93.29268293,1,4,1,5,8,31,52,13,3,20,3,7,16
May-05,99,19,16,92.65853659,1,4,1,6,8,30,51,12,3,19,3,8,16
Jun-05,99,20,17,94.57142857,1,4,1,5,7,31,50,12,4,19,4,7,17
Jul-05,105,22,17,93.95454545,1,4,1,5,7,33,52,12,3,19,3,8,18
Aug-05,99,21,15,90.57142857,2,4,1,5,7,32,50,12,3,18,3,8,17
Sep-05,101,21,17,90.85714286,1,4,1,5,9,32,52,13,3,16,3,7,16
Oct-05,94,18,16,88.925,1,4,1,5,6,31,48,11,3,17,3,6,15
Nov-05,89,18,15,84.53846154,1,4,1,5,6,30,48,10,3,15,3,6,14
Dec-05,104,20,17,93.02325581,1,4,1,5,7,33,57,12,3,18,3,6,15
Jan-06,105,20,17,89.3255814,1,4,1,5,6,33,52,11,3,17,3,5,14
Feb-06,100,21,17,88.63414634,1,4,1,5,7,33,54,12,3,18,3,6,15
Mar-06,97,19,17,90.15,1,4,1,5,7,33,50,13,3,19,4,7,17
Apr-06,95,19,17,90.46153846,1,4,1,5,7,31,52,12,4,19,3,7,18
May-06,93,18,16,89.55263158,1,4,1,5,6,29,53,12,4,18,3,7,18
Jun-06,95,21,17,94,1,3,1,5,6,32,53,13,3,18,4,8,20
Jul-06,96,22,17,92.29268293,1,4,1,5,7,32,54,12,3,18,3,8,19
Aug-06,93,19,16,90.46153846,1,3,1,5,7,32,52,12,4,20,3,7,17
Sep-06,95,19,16,90.15,1,4,1,5,6,31,52,12,4,19,3,7,16
Oct-06,94,19,17,89.58974359,1,4,1,5,6,32,53,12,3,17,3,6,15
Nov-06,87,18,15,82.91891892,1,4,1,5,5,30,49,11,3,16,3,6,15
Dec-06,94,19,17,95,1,4,1,5,7,32,57,12,3,18,3,6,16
Jan-07,93,18,16,86.7,1,4,1,5,7,32,51,12,3,16,3,6,15
Feb-07,90,20,16,88.31578947,1,4,1,5,7,31,49,11,3,18,3,6,15
Mar-07,89,20,17,91.13513514,1,4,1,5,6,29,50,12,4,19,3,7,16
Apr-07,89,19,16,87.40540541,1,4,1,5,6,29,49,13,4,19,3,7,17
May-07,87,18,16,86.02702703,1,4,1,5,8,29,49,12,3,18,3,7,18
Jun-07,90,21,16,92.02631579,1,4,1,5,8,30,55,13,4,18,3,7,19
Jul-07,92,19,16,89.63414634,1,4,1,5,8,29,53,12,3,18,3,7,18
Aug-07,88,20,16,89.31578947,1,4,1,5,8,30,54,12,3,19,3,7,19
Sep-07,93,21,17,89.925,1,4,1,5,8,30,55,12,3,18,3,7,17
Oct-07,87,18,16,86.16216216,1,4,1,5,8,30,49,12,3,16,3,6,16
Nov-07,79,18,16,81.97142857,1,4,1,5,8,29,49,11,3,15,3,5,13
Dec-07,93,21,17,91.58974359,1,4,1,5,9,33,59,12,4,17,3,6,17
Jan-08,95,21,17,93.5,1,4,1,5,8,35,56,12,3,19,3,6,16
Feb-08,89,20,17,91.55263158,1,4,1,5,10,33,56,12,3,19,3,6,17
Mar-08,91,20,17,91.23076923,1,4,1,5,9,32,60,13,4,20,4,6,18
Apr-08,87,21,17,88.94736842,1,4,1,5,9,30,60,13,4,21,3,7,18
May-08,88,20,17,89.64864865,1,4,1,6,9,31,59,13,4,21,4,7,18
Jun-08,90,20,17,93.78947368,1,4,1,6,9,31,59,14,4,21,4,7,19
Jul-08,91,21,18,93.69230769,1,4,1,6,9,32,60,14,4,22,4,7,19
Aug-08,96,21,19,95.75,1,4,1,5,9,33,62,13,4,21,4,7,18
Sep-08,94,21,18,92.23076923,1,4,1,5,9,33,59,13,4,19,3,6,18
Oct-08,92,20,17,90,1,4,1,5,9,33,61,12,4,19,3,6,17
Nov-08,86,20,17,89.07894737,1,4,1,5,9,33,59,11,4,18,3,5,16
Dec-08,93,21,19,98.65853659,1,5,1,5,9,36,65,13,4,19,3,6,17
Jan-09,99,21,19,95.5,2,5,1,5,9,37,65,13,4,20,4,6,17
Feb-09,102,23,20,102.5,2,5,1,6,10,38,70,15,4,22,4,6,18
Mar-09,100,23,20,101.4883721,1,5,1,6,9,37,69,15,4,23,4,7,19
Apr-09,94,23,19,98.51219512,1,5,1,6,9,34,69,15,4,23,4,7,21
May-09,93,22,19,101.5,2,5,1,6,10,35,67,14,4,22,4,7,20
Jun-09,100,23,20,104.6363636,1,5,1,6,10,38,72,15,4,23,4,7,21
Jul-09,100,23,20,108.0909091,1,5,1,6,10,37,72,15,4,24,4,8,22
Aug-09,103,24,20,110.25,2,5,1,6,10,37,73,15,4,22,4,9,21
Sep-09,106,23,22,110.2765957,1,4,1,6,11,41,75,14,4,22,4,7,20
Oct-09,103,23,22,108.6666667,1,4,1,6,9,40,75,15,4,21,4,6,19
Nov-09,91,22,20,102,1,4,1,5,9,38,71,13,4,19,3,6,17
Dec-09,102,23,23,112.5,2,5,1,6,9,41,80,15,4,23,4,6,19
Jan-10,102,25,23,112.7777778,2,5,1,6,11,45,81,15,4,23,4,6,19
Feb-10,103,25,23,113.5,2,5,1,6,11,42,81,15,5,25,4,8,21
Mar-10,102,24,23,113.8604651,2,5,1,6,10,39,78,16,4,26,4,9,24
Apr-10,98,25,22,107.9534884,2,5,1,6,11,38,76,15,4,25,5,9,22
May-10,97,24,22,107.2857143,2,5,1,6,11,38,76,15,4,24,4,9,24
Jun-10,105,25,23,118.125,1,5,1,6,11,42,88,16,4,25,4,10,24
Jul-10,113,26,23,123.2352941,2,5,1,6,11,44,92,17,6,25,5,10,25
Aug-10,112,26,23,122.6530612,2,5,1,6,11,45,89,17,5,25,4,9,24
Sep-10,110,27,22,120.0408163,2,5,1,6,11,46,87,16,4,24,4,9,24
Oct-10,110,26,23,116.9183673,2,5,1,6,11,46,87,15,5,24,4,8,21
